seed_id,paper_id,domain_group,subdomain,clinical_phase,scenario_relevance,short_label,target_title,full_title,authors,authors_vancouver,year,journal,volume,issue,pages,doi,pmid,pmcid,publisher_url,pdf_url,guideline_body,publication_type,source_of_truth,validation_status,access_status,abstract_text,pdf_local_path,landing_page_local_path,pmc_xml_local_path,abstract_local_path,acquisition_result,index_case_fit,priority_rank_1_to_50,must_know_tier,notes
A11,a11,guideline_trunk,eras_cardiac_surgery,transversal,medium,ERAS Cardiac Surgery 2019,Guidelines for Perioperative Care in Cardiac Surgery Enhanced Recovery After Surgery Society Recommendations,Standardized Recommendations for the Implementation of Enhanced Recovery Protocols in Thoracic Surgery in Spain: A Delphi Consensus Study.,['Ljungqvist O'],Ljungqvist O.,2026,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,68,2,280-296,10.1093/ejcts/ezag083,41701146,PMC9801279,https://doi.org/10.1007/978-3-030-33443-7_1,,ERAS Society,consensus,pubmed,unresolved_partial,abstract-only,"Despite advancements in minimally invasive techniques, lung resection surgery for lung cancer still carries a significant risk of complications. Enhanced recovery after surgery (ERAS) protocols offer strategies to improve outcomes, yet their adoption is still inconsistent. This study aims to develop a series of evidence-based recommendations for ERAS strategies, incorporating insights from thoracic surgeons, anaesthetists, nurses, physiotherapists, and patients.
A 2-round Delphi consensus process was conducted with experts in the management of thoracic surgery patients. A scientific committee established 62 recommendations across 3 phases: preoperative (n = 12), intraoperative (n = 30), and postoperative (n = 20). Consensus was defined as ≥66% agreement (Likert scale 6-7) or disagreement (Likert 1-2) among panellists.
Consensus was reached for 91.7% of preoperative, 86.7% of intraoperative, and 85% of postoperative recommendations. Key recommendations include structured prehabilitation programmes, multimodal analgesia strategies with opioid-sparing approaches, minimally invasive thoracic surgery, early chest drain removal, and pre- and postoperative physiotherapy with early mobilization.
This study establishes a structured, consensus-based perioperative management protocol for thoracic surgery patients. By optimizing perioperative care and standardizing interventions, these recommendations aim to improve clinical outcomes, enhance recovery, and raise the quality of care during thoracic surgery. They may also facilitate the broader adoption of ERAS strategies, ultimately improving patient recovery and resource utilization.",,raw\landing_pages\a11.html,,raw\abstracts\a11.txt,abstract_saved_no_legal_pdf,moderate,11,high_core,Low title similarity to seed (0.41); manual review required.
A12,a12,guideline_trunk,patient_blood_management,transversal,high,STS PBM Update,STS SCA AmSECT SABM Update to the Clinical Practice Guidelines on Patient Blood Management,STS/SCA/AmSECT/SABM Update to the Clinical Practice Guidelines on Patient Blood Management.,"['Tibi P', 'McClure RS', 'Huang J', 'Baker RA', 'Fitzgerald D', 'Mazer CD', 'Stone M', 'Chu D', 'Stammers AH', 'Dickinson T', 'Shore-Lesserson L', 'Ferraris V', 'Firestone S', 'Kissoon K', 'Moffatt-Bruce S']","Tibi P, McClure RS, Huang J, Baker RA, Fitzgerald D, Mazer CD, et al.",2021,Journal of cardiothoracic and vascular anesthesia,35,9,2569-2591,10.1053/j.jvca.2021.03.011,34217578,,https://linkinghub.elsevier.com/retrieve/pii/S1053077021002536,,STS/SCA/AmSECT/SABM,guideline,doi_landing,validated_primary,paywalled,,,raw\landing_pages\a12.html,,,not_downloaded_legal_restriction,high,12,high_core,
A13,a13,guideline_trunk,patient_blood_management,transversal,high,EACTS PBM 2024,2024 EACTS EACTAIC patient blood management guideline,2024 EACTS/EACTAIC Guidelines on patient blood management in adult cardiac surgery in collaboration with EBCP,"['Casselman FPA', 'Lance MD', 'Ahmed A', 'Ascari A', 'Blanco-Morillo J', 'Bolliger D', 'Eid M', 'Erdoes G', 'Haumann RG', 'Jeppsson A', 'van der Merwe HJ', 'Ortmann E', 'Petricevic M', 'Weltert LP', 'Milojevic M', 'Sadaba JR', 'Ranucci M', 'Agrawal S', 'Bauer A', 'Berdajs D', 'McCluskey SA', 'Engelman D', 'Gudbjartsson T', 'Hansson E', 'Koster A', 'De Somer F', 'De Waal E', 'Wahba A', 'Yévenes F']","Casselman FPA, Lance MD, Ahmed A, Ascari A, Blanco-Morillo J, Bolliger D, et al.",2025,European Journal of Cardio-Thoracic Surgery,67,5,ezae352,10.1093/ejcts/ezae352,39385500,PMC12257489,https://doi.org/10.1093/ejcts/ezae352,https://academic.oup.com/ejcts/advance-article-pdf/doi/10.1093/ejcts/ezae352/59653060/ezae352.pdf,EACTS/EACTAIC,guideline,publisher,validated_primary,paywalled,,,raw\landing_pages\a13.html,,,not_downloaded_legal_restriction,high,13,high_core,
A14,a14,guideline_trunk,arterial_conduits,intraop,direct,STS Arterial Conduits,The Society of Thoracic Surgeons Clinical Practice Guidelines on Arterial Conduits for Coronary Artery Bypass Grafting,The Society of Thoracic Surgeons Clinical Practice Guidelines on Arterial Conduits for Coronary Artery Bypass Grafting.,['Mehta A'],Mehta A.,2016,The Annals of thoracic surgery,101,2,801-9,10.1016/j.athoracsur.2015.09.100,26680310,,https://linkinghub.elsevier.com/retrieve/pii/S0003497515016082,,STS,guideline,doi_landing,validated_primary,abstract-only,"Internal thoracic arteries (ITAs) should be used to bypass the left anterior descending (LAD) artery when bypass of the LAD is indicated (class of recommendation [COR] I, level of evidence [LOE] B). As an adjunct to left internal thoracic artery (LITA), a second arterial graft (right ITA or radial artery [RA]) should be considered in appropriate patients (COR IIa, LOE B). Use of bilateral ITAs (BITAs) should be considered in patients who do not have an excessive risk of sternal complications (COR IIa, LOE B). To reduce the risk of sternal infection with BITA, skeletonized grafts should be considered (COR IIa, LOE B), smoking cessation is recommended (COR I, LOE C), glycemic control should be considered (COR IIa, LOE B), and enhanced sternal stabilization may be considered (COR IIb, LOE C). As an adjunct to LITA to LAD (or in patients with inadequate LITA grafts), use of a RA graft is reasonable when grafting coronary targets with severe stenoses (COR IIa, LOE: B). When RA grafts are used, it is reasonable to use pharmacologic agents to reduce acute intraoperative and perioperative spasm (COR IIa, LOE C). The right gastroepiploic artery may be considered in patients with poor conduit options or as an adjunct to more complete arterial revascularization (COR IIb, LOE B). Use of arterial grafts (specific targets, number, and type) should be a part of the discussion of the heart team in determining the optimal approach for each patient (COR I, LOE C).",,raw\landing_pages\a14.html,,raw\abstracts\a14.txt,abstract_saved_no_legal_pdf,very_high,14,high_core,
A15,a15,guideline_trunk,conduit_choice_review,intraop,direct,Choice of Conduits Review,Expert systematic review on choice of conduits for coronary artery bypass grafting,Expert systematic review on the choice of conduits for coronary artery bypass grafting: endorsed by the European Association for Cardio-Thoracic Surgery (EACTS) and The Society of Thoracic Surgeons (STS),['Murashita T'],Murashita T.,2023,Journal of Thoracic and Cardiovascular Surgery,166,4,1099-1114,10.1016/j.jtcvs.2023.06.017,37542480,,https://doi.org/10.1016/j.jtcvs.2023.06.017,,,review,publisher,validated_primary,paywalled,,,raw\landing_pages\a15.html,,,not_downloaded_legal_restriction,high,15,high_core,
B16,b16,revascularization,dm2_multivessel,longitudinal,direct,FREEDOM,Strategies for multivessel revascularization in patients with diabetes,"Patterns and Outcomes of Completeness of Revascularization in Patients With Diabetes and Non-ST-Segment-Elevation Myocardial Infarction in Ontario, Canada.",['Farmer JA'],Farmer JA.,2026,Circulation. Population health and outcomes,19,2,e012310,10.1161/circoutcomes.125.012310,41697273,,https://doi.org/10.1007/s11883-014-0426-0,http://link.springer.com/content/pdf/10.1007/s11883-014-0426-0.pdf,,RCT,pubmed,unresolved_partial,abstract-only,"It remains unknown how often, and to which extent, patients with diabetes and non-ST-segment-elevation myocardial infarction are revascularized. This study aimed to identify practice patterns and clinical outcomes in patients with diabetes and non-ST-segment-elevation myocardial infarction according to completeness of revascularization.
All patients with diabetes and multivessel disease hospitalized for non-ST-segment-elevation myocardial infarction in Ontario, Canada, between April 2009 and March 2020 and undergoing coronary angiography were included. Patients with previous coronary artery bypass grafting (CABG) at any time, percutaneous coronary intervention (PCI) in the previous 90 days, or an ST-segment-elevation myocardial infarction in the previous 90 days were excluded, as were patients with hemodynamic instability at hospital admission. Patients were classified into 4 groups, from the most to the least complete revascularization strategy: CABG, complete revascularization with PCI, incomplete PCI, or no revascularization. The primary outcome was all-cause death at 5 years. Cox regression adjusted for multiple baseline characteristics was used to compare outcomes between groups.
We included 14 511 patients (mean age: 68.7±11.5 years; 69.6% male patients); 4525 (31.2%) were treated with CABG, 3008 (20.7%) with complete PCI, 3624 (25.0%) with incomplete PCI, and 3354 (23.1%) did not receive any revascularization procedure. Adjusted 5-year risks of all-cause death after CABG, complete PCI, incomplete PCI, and no revascularization were progressively increased: 25.9%, 29.8%, 32.2%, and 39.4% respectively. Compared with no revascularization, a 46% reduction in all-cause death was observed after CABG (hazard ratio, 0.54 [95% CI, 0.50-0.58]), 35% after complete PCI (hazard ratio, 0.65 [95% CI, 0.60-0.71]), and 27% after incomplete PCI (hazard ratio, 0.73 [95% CI, 0.68-0.79]), over a median follow-up of 5.8 years (interquartile range, 3.3-8.6).
Almost a quarter of the patients with diabetes and non-ST-segment-elevation myocardial infarction did not receive any revascularization procedure. There was an incremental mortality reduction associated with CABG or complete revascularization with PCI, compared with incomplete revascularization with PCI or no revascularization.",,raw\landing_pages\b16.html,,raw\abstracts\b16.txt,abstract_saved_no_legal_pdf,very_high,16,high_core,Low title similarity to seed (0.38); manual review required.
B17,b17,revascularization,dm2_multivessel,longitudinal,direct,FREEDOM Follow-On,Long-term survival following multivessel revascularization in patients with diabetes,Long-Term Survival Following Multivessel Revascularization in Patients With Diabetes: The FREEDOM Follow-On Study.,['Aronow W'],Aronow W.,2019,Journal of the American College of Cardiology,73,6,629-638,10.1016/j.jacc.2018.11.001,30428398,PMC4985288,https://linkinghub.elsevier.com/retrieve/pii/S0735109718389940,,,follow-up,doi_landing,validated_primary,abstract-only,"The FREEDOM (Future Revascularization Evaluation in Patients with Diabetes Mellitus: Optimal Management of Multivessel Disease) trial demonstrated that for patients with diabetes mellitus (DM) and multivessel coronary disease (MVD), coronary artery bypass grafting (CABG) is superior to percutaneous coronary intervention with drug-eluting stents (PCI-DES) in reducing the rate of major adverse cardiovascular and cerebrovascular events after a median follow-up of 3.8 years. It is not known, however, whether CABG confers a survival benefit after an extended follow-up period.
The purpose of this study was to evaluate the long-term survival of DM patients with MVD undergoing coronary revascularization in the FREEDOM trial.
The FREEDOM trial randomized 1,900 patients with DM and MVD to undergo either PCI with sirolimus-eluting or paclitaxel-eluting stents or CABG on a background of optimal medical therapy. After completion of the trial, enrolling centers and patients were invited to participate in the FREEDOM Follow-On study. Survival was evaluated using Kaplan-Meier analysis, and Cox proportional hazards models were used for subgroup and multivariate analyses.
A total of 25 centers (of 140 original centers) agreed to participate in the FREEDOM Follow-On study and contributed a total of 943 patients (49.6% of the original cohort) with a median follow-up of 7.5 years (range 0 to 13.2 years). Of the 1,900 patients, there were 314 deaths during the entire follow-up period (204 deaths in the original trial and 110 deaths in the FREEDOM Follow-On). The all-cause mortality rate was significantly higher in the PCI-DES group than in the CABG group (24.3% [159 deaths] vs. 18.3% [112 deaths]; hazard ratio: 1.36; 95% confidence interval: 1.07 to 1.74; p = 0.01). Of the 943 patients with extended follow-up, the all-cause mortality rate was 23.7% (99 deaths) in the PCI-DES group and 18.7% (72 deaths) in the CABG group (hazard ratio: 1.32; 95% confidence interval: 0.97 to 1.78; p = 0.076).
In patients with DM and MVD, coronary revascularization with CABG leads to lower all-cause mortality than with PCI-DES in long-term follow-up. (Comparison of Two Treatments for Multivessel Coronary Artery Disease in Individuals With Diabetes [FREEDOM]; NCT00086450).",,raw\landing_pages\b17.html,,raw\abstracts\b17.txt,abstract_saved_no_legal_pdf,very_high,17,high_core,
B18,b18,revascularization,syntax_complexity,longitudinal,direct,SYNTAX 10-year,Ten-year all-cause death according to completeness of revascularization in patients with three-vessel disease and left main coronary artery disease,Ten-Year All-Cause Mortality Following Staged Percutaneous Revascularization in Patients With Complex Coronary Artery Disease.,"['Gandotra D', 'Kaul U']","Gandotra D, Kaul U.",2022,Cardiovascular revascularization medicine : including molecular interventions,38,5,124-126,10.1016/j.carrev.2021.08.027,34503909,PMC12985967,https://linkinghub.elsevier.com/retrieve/pii/S1553838921006345,,,follow-up,doi_landing,unresolved_partial,abstract-only,"Medical and/or economic reasons sometimes necessitate the staging of percutaneous coronary intervention (SPCI) procedures in patients with complex coronary artery disease; however, the impact of this on very long-term outcomes is unknown. The aim of the present study is to assess 10-year all-cause mortality in patients with the three-vessel disease (3VD) and/or left main disease (LM) undergoing SPCI.
This is a sub-analysis of patients undergoing SPCI in the SYNTAXES study, which investigated 10-year all-cause mortality in patients with 3VD and/or LM in the randomized SYNTAX trial, beyond its original 5-year follow-up. An SPCI was allowed within 72 h or, if renal insufficiency or contrast-induced nephropathy occurred, within 14 days of the index procedure. Mortality was compared between patients having SPCI versus those not having SPCI or undergoing CABG. PCI patients were further stratified according to 3VD or LM.
In the SYNTAX PCI population (overall: n = 903, 3VD: n = 546, LM: n = 357), 125 (13.8%) patients underwent SPCI. Patients with SPCI had a higher 10-year mortality compared to those who didn't (40.0% vs 26.6%; hazard ratio [HR] 1.69; 95% confidence interval [CI] 1.23-2.32; p < 0.01) and those having CABG(40.0% vs 24.5%; HR 1.85; 95%CI 1.35-2.53; p < 0.01). Patients having SPCI with 3VD (n = 103) or LM (n = 22) had higher mortality than respective patients not having SPCI (3VD: 37.4% vs 27.1%; HR 1.52; 95%CI 1.05-2.21; p = 0.03 and LM: 51.8% vs 25.9%; HR 2.39; 95%CI 1.27-4.47; p = 0.01).
At 10-year follow-up, SPCI was associated with higher mortality than single-session PCI, so that CABG may be preferable if a staged procedure is anticipated.",,raw\landing_pages\b18.html,,raw\abstracts\b18.txt,abstract_saved_no_legal_pdf,very_high,18,high_core,Low title similarity to seed (0.59); manual review required.
B19,b19,revascularization,physiology_guided_pci_vs_cabg,longitudinal,high,FAME 3,Fractional Flow Reserve Guided PCI as Compared with Coronary Bypass Surgery,Fractional flow reserve guided percutaneous coronary intervention,"['Ferlini M', 'Munafò A', 'Visconti LO.']","Ferlini M, Munafò A, Visconti LO..",2025,World journal of cardiology,17,9,111044,10.4330/wjc.v17.i9.111044,41024968,PMC1767806,https://doi.org/10.1056/nejmc2202491,,,RCT,pubmed,unresolved_partial,abstract-only,"Coronary artery bypass grafting (CABG) and percutaneous coronary intervention (PCI) are well-established treatments for multivessel coronary artery disease (CAD), a condition where multiple heart arteries are narrowed. A newer approach, fractional flow reserve (FFR)-guided PCI, uses a specialized measurement to select which artery blockages to treat, aiming to enhance patient outcomes. Despite its adoption, the comparative effectiveness of FFR-guided PCI vs CABG remains unclear, particularly regarding key health outcomes such as survival, heart-related complications, and the need for further procedures.
To evaluate the safety and effectiveness of FFR -guided PCI compared to CABG in patients with multivessel CAD.
This meta-analysis followed standard reporting guidelines and included randomized controlled trials (RCTs) comparing FFR-guided PCI with CABG in patients with multivessel CAD. We searched medical databases, including PubMed, EMBASE, ScienceDirect, and ClinicalTrials.gov, from their start to May 2025. We calculated combined risk ratios (RRs) with 95% confidence intervals (95%CIs) to analyze the data.
Three RCTs were analyzed. There was no notable difference in all-cause mortality between FFR-guided PCI and CABG (RR = 1.01, 95%CI: 0.78-1.31, P = 0.93). However, FFR-guided PCI showed higher rates of major adverse cardiac events (MACEs; RR = 1.30, 95%CI: 1.11-1.52, P = 0.001), myocardial infarction (RR = 1.49, 95%CI: 1.11-2.01, P = 0.009), and repeat revascularization (RR = 2.25, 95%CI: 1.78-2.85, P < 0.00001). Stroke rates were comparable between the two treatments (RR = 0.80, 95%CI: 0.54-1.20, P = 0.28).
FFR-guided PCI and CABG have similar rates of all-cause mortality and stroke in patients with multivessel CAD. However, CABG results in fewer MACEs, myocardial infarctions, and repeat procedures.",,raw\landing_pages\b19.html,,raw\abstracts\b19.txt,abstract_saved_no_legal_pdf,very_high,19,high_core,Low title similarity to seed (0.56); manual review required.
B20,b20,revascularization,physiology_guided_pci_vs_cabg,longitudinal,high,FAME 3 five-year,Five-year outcomes of FAME 3,"Outcomes after fractional flow reserve-guided percutaneous coronary intervention versus coronary artery bypass grafting (FAME 3): 5-year follow-up of a multicentre, open-label, randomised trial","['Dillen DMM', 'Otsuki H', 'Takahashi K', 'Kobayashi Y', 'Piroth Z', 'Noiseux N', 'Nakadi BE', 'Kalinauskas G']","Dillen DMM, Otsuki H, Takahashi K, Kobayashi Y, Piroth Z, Noiseux N, et al.",2025,Lancet,406,10493,1287-1294,10.1016/s0140-6736(25)00505-7,39727036,PMC11748902,https://doi.org/10.1016/S0140-6736(25)00505-7,,,follow-up,publisher,validated_primary,paywalled,,,raw\landing_pages\b20.html,,,not_downloaded_legal_restriction,high,20,high_core,
B21,b21,revascularization,left_main,longitudinal,medium,EXCEL,Everolimus-Eluting Stents or Bypass Surgery for Left Main Coronary Artery Disease,Everolimus-Eluting Stents or Bypass Surgery for Left Main Coronary Artery Disease,"['Hosoyama K', 'Yamada-Fujiwara M', 'Itagaki K', 'Tago T', 'Yuda K', 'Ito K', 'Suzuki Y', 'Katahira S', 'Takahashi G', 'Kumagai K', 'Saiki Y']","Hosoyama K, Yamada-Fujiwara M, Itagaki K, Tago T, Yuda K, Ito K, et al.",2016,New England Journal of Medicine,375,23,2223-2235,10.1056/nejmoa1610227,27797291,,https://doi.org/10.1056/NEJMoa1610227,,,RCT,pubmed,validated_primary,not_downloaded_legal_restriction,,,,,,not_downloaded_legal_restriction,moderate,21,high_core,
B22,b22,revascularization,left_main,longitudinal,medium,EXCEL five-year,Five-Year Outcomes after PCI or CABG for Left Main Coronary Disease,Five-Year Outcomes after PCI or CABG for Left Main Coronary Disease,"['Stone GW', 'Kappetein AP', 'Sabik JF', 'Pocock SJ', 'Morice MC', 'Puskas J', 'Kandzari DE', 'Karmpaliotis D']","Stone GW, Kappetein AP, Sabik JF, Pocock SJ, Morice MC, Puskas J, et al.",2019,New England Journal of Medicine,381,19,1820-1830,10.1056/nejmoa1909406,31562798,,https://doi.org/10.1056/NEJMoa1909406,,,follow-up,pubmed,validated_primary,not_downloaded_legal_restriction,,,,,,not_downloaded_legal_restriction,moderate,22,high_core,
B23,b23,revascularization,left_main,longitudinal,medium,NOBLE five-year,Percutaneous coronary angioplasty versus coronary artery bypass grafting in treatment of unprotected left main stenosis 5-year outcomes from the randomised non-inferiority NOBLE trial,"Percutaneous coronary angioplasty versus coronary artery bypass grafting in the treatment of unprotected left main stenosis: updated 5-year outcomes from the randomised, non-inferiority NOBLE trial.","['Jonik S', 'Gumiężna K', 'Baruś P', 'Wilimski R', 'Kuśmierczyk M', 'Opolski G', 'Grabowski M', 'Kochman J']","Jonik S, Gumiężna K, Baruś P, Wilimski R, Kuśmierczyk M, Opolski G, et al.",2020,"Lancet (London, England)",395,10219,191-199,10.1016/s0140-6736(19)32972-1,31879028,PMC12387798,https://linkinghub.elsevier.com/retrieve/pii/S0140673619329721,,,follow-up,doi_landing,validated_primary,abstract-only,"Percutaneous coronary intervention (PCI) is increasingly used in revascularisation of patients with left main coronary artery disease in place of the standard treatment, coronary artery bypass grafting (CABG). The NOBLE trial aimed to evaluate whether PCI was non-inferior to CABG in the treatment of left main coronary artery disease and reported outcomes after a median follow-up of 3·1 years. We now report updated 5-year outcomes of the trial.
The prospective, randomised, open-label, non-inferiority NOBLE trial was done at 36 hospitals in nine northern European countries. Patients with left main coronary artery disease requiring revascularisation were enrolled and randomly assigned (1:1) to receive PCI or CABG. The primary endpoint was major adverse cardiac or cerebrovascular events (MACCE), a composite of all-cause mortality, non-procedural myocardial infarction, repeat revascularisation, and stroke. Non-inferiority of PCI to CABG was defined as the upper limit of the 95% CI of the hazard ratio (HR) not exceeding 1·35 after 275 MACCE had occurred. Secondary endpoints included all-cause mortality, non-procedural myocardial infarction, and repeat revascularisation. Outcomes were analysed in the intention-to-treat population. This trial is registered with ClinicalTrials.gov, NCT01496651.
Between Dec 9, 2008, and Jan 21, 2015, 1201 patients were enrolled and allocated to PCI (n=598) or CABG (n=603), with 17 subsequently lost to early follow-up. 592 patients in each group were included in this analysis. At a median of 4·9 years of follow-up, the predefined number of events was reached for adequate power to assess the primary endpoint. Kaplan-Meier 5-year estimates of MACCE were 28% (165 events) for PCI and 19% (110 events) for CABG (HR 1·58 [95% CI 1·24-2·01]); the HR exceeded the limit for non-inferiority of PCI compared to CABG. CABG was found to be superior to PCI for the primary composite endpoint (p=0·0002). All-cause mortality was estimated in 9% after PCI versus 9% after CABG (HR 1·08 [95% CI 0·74-1·59]; p=0·68); non-procedural myocardial infarction was estimated in 8% after PCI versus 3% after CABG (HR 2·99 [95% CI 1·66-5·39]; p=0·0002); and repeat revascularisation was estimated in 17% after PCI versus 10% after CABG (HR 1·73 [95% CI 1·25-2·40]; p=0·0009).
In revascularisation of left main coronary artery disease, PCI was associated with an inferior clinical outcome at 5 years compared with CABG. Mortality was similar after the two procedures but patients treated with PCI had higher rates of non-procedural myocardial infarction and repeat revascularisation.
Biosensors.",,raw\landing_pages\b23.html,,raw\abstracts\b23.txt,abstract_saved_no_legal_pdf,moderate,23,high_core,
B24,b24,revascularization,left_main,longitudinal,medium,PRECOMBAT ten-year,Ten-Year Outcomes After Drug-Eluting Stents Versus Coronary Artery Bypass Grafting for Left Main Coronary Disease,Ten-Year Outcomes After Drug-Eluting Stents Versus Coronary Artery Bypass Grafting for Left Main Coronary Disease: Extended Follow-Up of the PRECOMBAT Trial.,"['Park D', 'Ahn J', 'Park H', 'Yun S', 'Kang D', 'Lee PH', 'Kim Y', 'Lim D', 'Rha S', 'Park G', 'Gwon H', 'Kim H', 'Chae I', 'Jang Y', 'Jeong M', 'Tahk S', 'Seung KB', 'Park S']","Park D, Ahn J, Park H, Yun S, Kang D, Lee PH, et al.",2020,Circulation,141,18,1437-1446,10.1161/circulationaha.120.046039,32223567,PMC9893531,https://doi.org/10.1161/circulationaha.120.046039,,,follow-up,pubmed,validated_primary,abstract-only,"Long-term comparative outcomes after percutaneous coronary intervention (PCI) with drug-eluting stents and coronary-artery bypass grafting (CABG) for left main coronary artery disease are highly debated.
In the PRECOMBAT trial (Premier of Randomized Comparison of Bypass Surgery versus Angioplasty Using Sirolimus-Eluting Stent in Patients with Left Main Coronary Artery Disease), patients with unprotected left main coronary artery disease were randomly assigned to undergo PCI with sirolimus-eluting stents (n=300) or CABG (n=300) in 13 hospitals in Korea from April 2004 to August 2009. The follow-up was extended to at least 10 years for all patients (median, 11.3 years). The primary outcome was the incidence of major adverse cardiac or cerebrovascular events (composite of death from any cause, myocardial infarction, stroke, or ischemia-driven target-vessel revascularization).
At 10 years, a primary outcome event occurred in 29.8% of the PCI group and in 24.7% of the CABG group (hazard ratio [HR] with PCI vs CABG, 1.25 [95% CI, 0.93-1.69]). The 10-year incidence of the composite of death, myocardial infarction, or stroke (18.2% vs 17.5%; HR 1.00 [95% CI, 0.70-1.44]) and all-cause mortality (14.5% vs 13.8%; HR 1.13 [95% CI, 0.75-1.70]) were not significantly different between the PCI and CABG groups. Ischemia-driven target-vessel revascularization was more frequent after PCI than after CABG (16.1% vs 8.0%; HR 1.98 [95% CI, 1.21-3.21).
Ten-year follow-up of the PRECOMBAT trial of patients with left main coronary artery disease randomized to PCI or CABG did not demonstrate significant difference in the incidence of major adverse cardiac or cerebrovascular events. Because the study was underpowered, the results should be considered hypothesis-generating, highlighting the need for further research. Registration: URL: https://www.clinicaltrials.gov; Unique identifiers: NCT03871127 and NCT00422968.",,raw\landing_pages\b24.html,,raw\abstracts\b24.txt,abstract_saved_no_legal_pdf,moderate,24,high_core,
B25,b25,revascularization,left_main_meta_analysis,longitudinal,medium,Left Main IPD Meta-analysis,PCI versus CABG for left main coronary artery disease individual patient data pooled analysis of randomized trials,Percutaneous Coronary Intervention vs Coronary Artery Bypass Graft Surgery for Left Main Disease in Patients With and Without Acute Coronary Syndromes: A Pooled Analysis of 4 Randomized Clinical Trials.,"['Akintoye E', 'Salih M', 'Olagoke O', 'Oseni A', 'Sistla P', 'Alqasrawi M', 'Panos A', 'Panaich S', 'Sellke F']","Akintoye E, Salih M, Olagoke O, Oseni A, Sistla P, Alqasrawi M, et al.",2023,JAMA cardiology,8,7,631-639,10.1161/circulationaha.113.001258,37256598,PMC8948200,https://doi.org/10.1016/j.carrev.2020.08.040,,,meta-analysis,pubmed,unresolved_partial,abstract-only,"Patients with left main coronary artery disease presenting with an acute coronary syndrome (ACS) represent a high-risk and understudied subgroup of patients with atherosclerosis.
To assess clinical outcomes after PCI vs CABG in patients with left main disease with vs without ACS.
Data were pooled from 4 trials comparing PCI with drug-eluting stents vs CABG in patients with left main disease who were considered equally suitable candidates for either strategy (SYNTAX, PRECOMBAT, NOBLE, and EXCEL). Patients were categorized as presenting with or without ACS. Kaplan-Meier event rates through 5 years and Cox model hazard ratios were generated, and interactions were tested. Patients were enrolled in the individual trials from 2004 through 2015. Individual patient data from the trials were pooled and reconciled from 2020 to 2021, and the analyses pertaining to the ACS subgroup were performed from March 2022 through February 2023.
The primary outcome was death through 5 years. Secondary outcomes included cardiovascular death, spontaneous myocardial infarction (MI), procedural MI, stroke, and repeat revascularization.
Among 4394 patients (median [IQR] age, 66 [59-73] years; 3371 [76.7%] male and 1022 [23.3%] female) randomized to receive PCI or CABG, 1466 (33%) had ACS. Patients with ACS were more likely to have diabetes, prior MI, left ventricular ejection fraction less than 50%, and higher SYNTAX scores. At 30 days, patients with ACS had higher all-cause death (hazard ratio [HR], 3.40; 95% CI, 1.81-6.37; P < .001) and cardiovascular death (HR, 3.21; 95% CI, 1.69-6.08; P < .001) compared with those without ACS. Patients with ACS also had higher rates of spontaneous MI (HR, 1.70; 95% CI, 1.25-2.31; P < .001) through 5 years. The rates of all-cause mortality through 5 years with PCI vs CABG were 10.9% vs 11.5% (HR, 0.93; 95% CI, 0.68-1.27) in patients with ACS and 11.3% vs 9.6% (HR, 1.19; 95% CI, 0.95-1.50) in patients without ACS (P = .22 for interaction). The risk of early stroke was lower with PCI vs CABG (ACS: HR, 0.39; 95% CI, 0.12-1.25; no ACS: HR, 0.35; 95% CI, 0.16-0.75), whereas the 5-year risks of spontaneous MI and repeat revascularization were higher with PCI vs CABG (spontaneous MI: ACS: HR, 1.74; 95% CI, 1.09-2.77; no ACS: HR, 3.03; 95% CI, 1.94-4.72; repeat revascularization: ACS: HR, 1.57; 95% CI, 1.19-2.09; no ACS: HR, 1.90; 95% CI, 1.54-2.33), regardless of ACS status.
Among largely stable patients undergoing left main revascularization and with predominantly low to intermediate coronary anatomical complexity, those with ACS had higher rates of early death. Nonetheless, rates of all-cause mortality through 5 years were similar with PCI vs CABG in this high-risk subgroup. The relative advantages and disadvantages of PCI vs CABG in terms of early stroke and long-term spontaneous MI and repeat revascularization were consistent regardless of ACS status.
ClinicalTrials.gov Identifiers: NCT00114972, NCT00422968, NCT01496651, NCT01205776.",,raw\landing_pages\b25.html,,raw\abstracts\b25.txt,abstract_saved_no_legal_pdf,moderate,25,high_core,Low title similarity to seed (0.50); manual review required.
B26,b26,revascularization,stable_ischemia,longitudinal,medium,ISCHEMIA,Initial Invasive or Conservative Strategy for Stable Coronary Disease,Initial Invasive or Conservative Strategy for Stable Coronary Disease,"['Kimpton J', 'Khong TK.']","Kimpton J, Khong TK..",2020,New England Journal of Medicine,382,15,1395-1407,10.1056/nejmoa1915922,32227755,,https://doi.org/10.1056/NEJMoa1915922,,,RCT,pubmed,validated_primary,not_downloaded_legal_restriction,,,,,,not_downloaded_legal_restriction,indirect,26,advanced_core,
