recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-0AA7A14203B9,UPL-CE02A6AB5E49:S028,1,B-R,guideline_acc_aha_scai,SIHD,"In patients with SIHD and multivessel CAD appropriate for CABG with severe left ventricular systolic dysfunction (left ventricular ejection fraction <35%), CABG is recommended to improve survival",SIHD and multivessel CAD appropriate for,SIHD,,severe,,,ejection fraction <35,,CABG,,improve survival,multivessel CAD appropriate for,,,,2026-04-24T05:27:57.103783+00:00,stable-ischemic-heart-disease,Cirugia Cardiovascular,Revascularizacion Coronaria,p.23 line-table COR 1 LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.94,recommendation-language; cor:1; loe:b-r; population-extracted; intervention-extracted; source-locator; clinical-entities,population:SIHD and multivessel CAD appropriate for; intervention:CABG; outcome:improve survival; condition:multivessel CAD appropriate for; numeric_threshold:ejection fraction <35,SIHD and multivessel CAD appropriate for; multivessel CAD appropriate for,SIHD and multivessel CAD appropriate for,,SIHD,,,,ejection fraction <35,multivessel CAD appropriate for,population:SIHD and multivessel CAD appropriate for [eq] | disease:SIHD [eq] | condition:multivessel CAD appropriate for [contains] | numeric_threshold:ejection fraction <35 [<] -> 35,CABG is recommended,multivessel CAD appropriate for,,improve survival
GR-0B332A2EAB38,UPL-CE02A6AB5E49:S157,,,guideline_acc_aha_scai,General Coronary Revascularization,"For this reason, in the planning of clinical trials, measures to ensure the enrollment of underrepresented racial and ethnic groups should be implemented to inform better care of patients",,,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.60 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:For this reason, in the planning of clinical trials, measures to ensure the enrollment of underrepresented racial and et",,,,,,,,,,,,,,
GR-0EC469C85FDA,UPL-CE02A6AB5E49:S097,2A,B-NR,guideline_acc_aha_scai,CABG Strategy,"In patients undergoing elective CABG who receive P2Y12 receptor inhibitors before surgery, it is reasonable to discontinue clopidogrel for 5 days, ticagrelor for 3 days, and prasugrel for 7 days before CABG to reduce risk of major bleeding and blood product transfusion",undergoing elective,,,,,,,,,,reduce risk of major bleeding and blood product transfusion,,,elective,elective,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.51 line-table COR 2A LOE B-NR,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.9,recommendation-language; cor:2a; loe:b-nr; population-extracted; source-locator; temporal-qualifiers; clinical-entities,population:undergoing elective; outcome:reduce risk of major bleeding and blood product transfusion; temporal_qualifier:elective,undergoing elective,undergoing elective,,,,,,,,population:undergoing elective [eq],is reasonable,elective,,reduce risk of major bleeding and blood product transfusion
GR-114EE9C7D4FF,UPL-CE02A6AB5E49:S046,2A,C-LD,guideline_acc_aha_scai,STEMI,"In pregnant patients with STEMI not caused by spontaneous coronary artery dissection (SCAD), it is reasonable to perform primary PCI as the preferred revascularization strategy",STEMI not caused by spontaneous coronary artery dissection (SCAD),STEMI,,,,,,,,,,pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD),,,,2026-04-24T05:27:57.103783+00:00,acute-mi,Cirugia Cardiovascular,Revascularizacion Coronaria,p.30 line-table COR 2A LOE C-LD,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-c",0.82,recommendation-language; cor:2a; loe:c-ld; population-extracted; source-locator,population:STEMI not caused by spontaneous coronary artery dissection (SCAD); condition:pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD),STEMI not caused by spontaneous coronary artery dissection (SCAD); pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD),STEMI not caused by spontaneous coronary artery dissection (SCAD),,STEMI,,,,,pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD),population:STEMI not caused by spontaneous coronary artery dissection (SCAD) [eq] | disease:STEMI [eq] | condition:pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD) [contains],is reasonable,pregnant with STEMI not caused by spontaneous coronary artery dissection (SCAD),,
GR-11A695A501F6,UPL-CE02A6AB5E49:S206,,,guideline_acc_aha_scai,Revascularization Strategy,"e78 CLINICAL STATEMENTS AND GUIDELINES dial viability with derived benefit from revascularization, it remains unclear whether viability studies should be used to inform clinical practice, and if they are used, it remains unclear which method of assessment provides the most useful information",,,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.61 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:e78 CLINICAL STATEMENTS AND GUIDELINES dial viability with derived benefit from revascularization, it remains unclear wh",,,,,,,,,,,,,,
GR-11EAEB2A57D6,UPL-CE02A6AB5E49:S030,1,B-R,guideline_acc_aha_scai,SIHD,"In patients with SIHD and significant left main stenosis, CABG is recommended to improve survival",SIHD and significant left main stenosis,SIHD,,significant,,,,,CABG,,improve survival,significant left main stenosis,,,,2026-04-24T05:27:57.103783+00:00,stable-ischemic-heart-disease,Cirugia Cardiovascular,Revascularizacion Coronaria,p.23 line-table COR 1 LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.94,recommendation-language; cor:1; loe:b-r; population-extracted; intervention-extracted; source-locator; clinical-entities,population:SIHD and significant left main stenosis; intervention:CABG; outcome:improve survival; condition:significant left main stenosis,SIHD and significant left main stenosis; significant left main stenosis,SIHD and significant left main stenosis,,SIHD,,,,,significant left main stenosis,population:SIHD and significant left main stenosis [eq] | disease:SIHD [eq] | condition:significant left main stenosis [contains],CABG is recommended,significant left main stenosis,,improve survival
GR-14C0676E6C40,UPL-CE02A6AB5E49:S036,3: HARM,C-LD,guideline_acc_aha_scai,CABG Strategy,"In patients with angina but no anatomic or physiological criteria for revascularization, neither CABG nor PCI should be performed",angina but no anatomic or physiological criteria for,angina,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.27 line-table COR 3: HARM LOE C-LD,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-3, loe-c",0.82,recommendation-language; cor:3: harm; loe:c-ld; population-extracted; source-locator,population:angina but no anatomic or physiological criteria for,angina but no anatomic or physiological criteria for,angina but no anatomic or physiological criteria for,,angina,,,,,,population:angina but no anatomic or physiological criteria for [eq] | disease:angina [eq],should be performed,,,
GR-1868DEA87FA8,UPL-CE02A6AB5E49:S122,,,guideline_acc_aha_scai,Left Main Disease,"For patients with significant left main disease, surgical revascularization is indicated to improve survival relative to that likely to be achieved with medical therapy",significant left main disease,left main disease,,significant,,,,,surgical revascularization,,improve survival relative to that likely to be achieved with medical therapy,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.3 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.74,recommendation-language; population-extracted; intervention-extracted; source-locator; clinical-entities,population:significant left main disease; intervention:surgical revascularization; outcome:improve survival relative to that likely to be achieved with medical therapy,significant left main disease,significant left main disease,,left main disease,,,,,,population:significant left main disease [eq] | disease:left main disease [eq],surgical revascularization is indicated,,,improve survival relative to that likely to be achieved with medical therapy
GR-19A9B30A058D,UPL-CE02A6AB5E49:S198,,,guideline_acc_aha_scai,General Coronary Revascularization,"It can be efficacious in preventing stent thrombosis and may be considered in patients who have not been pretreated with a P2Y12 inhibitor, in patients whose absorption of oral medications may be inhibited, or in patients who are unable to take oral medications",,,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.43 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:It can be efficacious in preventing stent thrombosis and may be considered in patients who have not been pretreated with,,,,,,,,,,,may be considered,,,
GR-19ACCDAE9A38,UPL-CE02A6AB5E49:S041,2B,B-R,guideline_acc_aha_scai,Left Main Disease,"In patients with diabetes who have left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy, PCI may be considered an alternative to CABG to reduce major adverse cardiovascular outcomes",diabetes,CAD,,intermediate,,,,,PCI,,reduce major adverse cardiovascular outcomes,left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.28 line-table COR 2B LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2b, loe-b",0.94,recommendation-language; cor:2b; loe:b-r; population-extracted; intervention-extracted; source-locator; clinical-entities,population:diabetes; intervention:PCI; outcome:reduce major adverse cardiovascular outcomes; condition:left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy,diabetes; left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy,diabetes,,CAD,,,,,left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy,population:diabetes [eq] | disease:CAD [eq] | condition:left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy [contains],PCI may be considered,left main stenosis and lowor intermediate-complexity CAD in the rest of the coronary anatomy,,reduce major adverse cardiovascular outcomes
GR-19B9E1375672,UPL-CE02A6AB5E49:S135,,,guideline_acc_aha_scai,STEMI,"Placement of a mechanical support device may be useful in temporizing a patient with a mechanical complication of STEMI, and urgent or emergency surgery remains the best treatment",,STEMI,,,,,,,,,,,,emergency,urgent; emergency,2026-04-24T05:27:57.103783+00:00,acute-mi,Cirugia Cardiovascular,Revascularizacion Coronaria,p.17 numbered,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:urgent; temporal_qualifier:emergency,,,,STEMI,,,,,,disease:STEMI [eq],,urgent; emergency,,
GR-1AA01E1E90A3,UPL-CE02A6AB5E49:S115,1,B-R,guideline_acc_aha_scai,Acute Coronary Syndromes,"In patients with ACS undergoing PCI, a loading dose of P2Y12 inhibitor, followed by daily dosing, is recommended to reduce ischemic events",ACS undergoing,,,,,,,,,,reduce ischemic events,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.41 pipe-table COR 1 LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.82,recommendation-language; cor:1; loe:b-r; population-extracted; source-locator,population:ACS undergoing; outcome:reduce ischemic events,ACS undergoing,ACS undergoing,,,,,,,,population:ACS undergoing [eq],is recommended,,,reduce ischemic events
GR-1B7E407CC8E3,UPL-CE02A6AB5E49:S052,2A,C-EO,guideline_acc_aha_scai,Acute Coronary Syndromes,"In low-risk patients with NSTE-ACS and CKD, it is reasonable to weigh the risk of coronary angiography and revascularization against the potential benefit",,NSTE-ACS,,,,,,,,,,,,,,2026-04-24T05:27:57.103783+00:00,nste-acs,Cirugia Cardiovascular,Revascularizacion Coronaria,p.31 line-table COR 2A LOE C-EO,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-c",0.74,recommendation-language; cor:2a; loe:c-eo; source-locator,"statement:In low-risk patients with NSTE-ACS and CKD, it is reasonable to weigh the risk of coronary angiography and revasculariza",,,,NSTE-ACS,,,,,,disease:NSTE-ACS [eq],is reasonable,,,
GR-1D4A74B76878,UPL-CE02A6AB5E49:S108,1,A,guideline_acc_aha_scai,Revascularization Strategy,"In patients who have undergone revascularization, a comprehensive cardiac rehabilitation program (home based or center based) should be prescribed either before hospital discharge or during the first outpatient visit to reduce deaths and hospital readmissions and improve quality of life",have undergone,,,,,hospital discharge,,pre-discharge,,,reduce deaths and hospital readmissions and improve quality of life,,,before-discharge,before hospital discharge,2026-04-24T05:27:57.103783+00:00,inpatient,Cirugia Cardiovascular,Revascularizacion Coronaria,p.56 line-table COR 1 LOE A,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-a",0.9,recommendation-language; cor:1; loe:a; population-extracted; source-locator; temporal-qualifiers; clinical-entities,population:have undergone; outcome:reduce deaths and hospital readmissions and improve quality of life; temporal_qualifier:before hospital discharge,have undergone,have undergone,,,,hospital discharge,,,,population:have undergone [eq] | event_anchor:hospital discharge [eq],,before hospital discharge,,reduce deaths and hospital readmissions and improve quality of life
GR-1E6F0D3934D2,UPL-CE02A6AB5E49:S178,,,guideline_acc_aha_scai,Physiology and Complexity Assessment,"For intermediate lesions, physiological testing with iFR or FFR may be useful to guide PCI",,,,intermediate,,,,,,,guide PCI,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.19 narrative,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language",0.54,recommendation-language; source-locator,outcome:guide PCI,,,,,,,,,,,,,,guide PCI
GR-1FE6C381DF03,UPL-CE02A6AB5E49:S025,2A,B-R,guideline_acc_aha_scai,Acute Coronary Syndromes,"In patients with NSTE-ACS who are initially stabilized and are at intermediate or low risk of clinical events, an invasive strategy with intent to perform revascularization is reasonable before hospital discharge to improve outcomes",NSTE-ACS,NSTE-ACS,,intermediate,,hospital discharge,,pre-discharge,,,improve outcomes,initially stabilized and are at intermediate or low risk of clinical events,,before-discharge,before hospital discharge,2026-04-24T05:27:57.103783+00:00,nste-acs,Cirugia Cardiovascular,Revascularizacion Coronaria,p.21 line-table COR 2A LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.9,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator; temporal-qualifiers; clinical-entities,population:NSTE-ACS; outcome:improve outcomes; condition:initially stabilized and are at intermediate or low risk of clinical events; temporal_qualifier:before hospital discharge,NSTE-ACS; initially stabilized and are at intermediate or low risk of clinical events,NSTE-ACS,,NSTE-ACS,,hospital discharge,,,initially stabilized and are at intermediate or low risk of clinical events,population:NSTE-ACS [eq] | disease:NSTE-ACS [eq] | event_anchor:hospital discharge [eq] | condition:initially stabilized and are at intermediate or low risk of clinical events [contains],is reasonable,before hospital discharge; initially stabilized and are at intermediate or low risk of clinical events,,improve outcomes
GR-200D2929E0D6,UPL-CE02A6AB5E49:S017,1,A,guideline_acc_aha_scai,STEMI,"In selected hemodynamically stable patients with STEMI and multivessel disease, after successful primary PCI, staged PCI of a significant non-infarct artery stenosis is recommended to reduce the risk of death or MI",,STEMI,stable,significant,,successful primary PCI,,post-primary-pci,,,reduce the risk of death or MI,,,chronic-stable,after successful primary PCI; stable,2026-04-24T05:27:57.103783+00:00,acute-mi,Cirugia Cardiovascular,Revascularizacion Coronaria,p.18 line-table COR 1 LOE A,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-a",0.82,recommendation-language; cor:1; loe:a; source-locator; temporal-qualifiers; clinical-entities,outcome:reduce the risk of death or MI; temporal_qualifier:after successful primary PCI; temporal_qualifier:stable,,,stable,STEMI,,successful primary PCI,,,,clinical_state:stable [eq] | disease:STEMI [eq] | event_anchor:successful primary PCI [eq],is recommended,after successful primary PCI; stable,,reduce the risk of death or MI
GR-2026DE62D361,UPL-CE02A6AB5E49:S062,2A,B-R,guideline_acc_aha_scai,Left Main Disease,"In patients undergoing coronary stent implantation, IVUS can be useful for procedural guidance, particularly in cases of left main or complex coronary artery stenting, to reduce ischemic events",undergoing coronary stent implantation,,,,,,,,,,reduce ischemic events,,,,,2026-04-24T05:27:57.103783+00:00,,Cirugia Cardiovascular,Revascularizacion Coronaria,p.36 line-table COR 2A LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-2a, loe-b",0.82,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator,population:undergoing coronary stent implantation; outcome:reduce ischemic events,undergoing coronary stent implantation,undergoing coronary stent implantation,,,,,,,,population:undergoing coronary stent implantation [eq],,,,reduce ischemic events
GR-21D53521A4BC,UPL-CE02A6AB5E49:S010,1,B-R,guideline_acc_aha_scai,STEMI,"In patients with STEMI and cardiogenic shock or hemodynamic instability, PCI or CABG (when PCI is not feasible) is indicated to improve survival, irrespective of the time delay from MI onset",STEMI and cardiogenic shock or hemodynamic instability,STEMI,cardiogenic shock,,,MI onset,,,PCI or CABG (when PCI,,"improve survival, irrespective of the time delay from MI onset",cardiogenic shock or hemodynamic instability; PCI is not feasible) is indicated to improve survival,,,irrespective of the time delay from MI onset,2026-04-24T05:27:57.103783+00:00,acute-mi,Cirugia Cardiovascular,Revascularizacion Coronaria,p.16 line-table COR 1 LOE B-R,critical,1.0,"guideline, specialty-aligned, society-issued, recommendation-language, cor-1, loe-b",0.98,recommendation-language; cor:1; loe:b-r; population-extracted; intervention-extracted; source-locator; temporal-qualifiers; clinical-entities,"population:STEMI and cardiogenic shock or hemodynamic instability; intervention:PCI or CABG (when PCI; outcome:improve survival, irrespective of the time delay from MI onset; condition:cardiogenic shock or hemodynamic instability; condition:PCI is not feasible) is indicated to improve survival; temporal_qualifier:irrespective of the time delay from MI onset",STEMI and cardiogenic shock or hemodynamic instability; cardiogenic shock or hemodynamic instability; PCI is not feasible) is indicated to improve survival,STEMI and cardiogenic shock or hemodynamic instability,cardiogenic shock,STEMI,,MI onset,,,cardiogenic shock or hemodynamic instability; PCI is not feasible) is indicated to improve survival,population:STEMI and cardiogenic shock or hemodynamic instability [eq] | clinical_state:cardiogenic shock [eq] | disease:STEMI [eq] | event_anchor:MI onset [eq] | condition:cardiogenic shock or hemodynamic instability [contains] | condition:PCI is not feasible) is indicated to improve survival [contains],PCI or CABG (when PCI is indicated,irrespective of the time delay from MI onset; cardiogenic shock or hemodynamic instability; PCI is not feasible) is indicated to improve survival,,"improve survival, irrespective of the time delay from MI onset"
