recommendation_id,statement_key,recommendation_class,level_of_evidence,document_family,clinical_topic,recommendation_text,population,disease,clinical_state,severity,time_window,event_anchor,numeric_thresholds,care_phase,intervention,comparator,outcome,conditions,exclusions,clinical_temporality,temporal_qualifiers,guidance_temporality,care_setting,specialty,sub_specialty,source_locator,information_weight,weight_score,weight_rationale,extraction_confidence,confidence_rationale,clinical_entities,execution_trigger,execution_trigger_population,execution_trigger_state,execution_trigger_disease,execution_trigger_time,execution_trigger_anchor,execution_trigger_exclusions,execution_trigger_numeric_constraints,execution_trigger_qualifiers,execution_trigger_constraints,execution_action,execution_prerequisites,execution_contraindications,execution_outcome
GR-234AE4D645C7,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S054,,,guideline_generic,General Coronary Revascularization,"PREOPERATIVE ANTICOAGULANTS • In patients in need of emergent cardiac surgery with recent ingestion of a nonvitamin K oral anticoagulant (NOAC) or laboratory evidence of a NOAC effect, administration of the reversal antidote specific to that NOAC is recommended (ie, administer idarucizumab for dabigatran at the appropriate dose or administer andexanet-a for either apixaban or rivaroxaban at the appropriate dose)",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.9 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:PREOPERATIVE ANTICOAGULANTS • In patients in need of emergent cardiac surgery with recent ingestion of a nonvitamin K or,,,,,,,,,,,is recommended,,,
GR-303B70E405C5,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S051,,,guideline_generic,General Coronary Revascularization,"Even in emergent situations, best efforts should be put forward to use the elements of informed consent with the patient or his or her appointed health care agent",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.8 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Even in emergent situations, best efforts should be put forward to use the elements of informed consent with the patient",,,,,,,,,,,,,,
GR-30E8B2E268C5,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S060,,,guideline_generic,General Coronary Revascularization,"ANTIPLATELETS • In order to reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days",,,,,,,,,,,"reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days",,,elective,elective,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.10 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,"outcome:reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days; temporal_qualifier:elective",,,,,,,,,,,,elective,,"reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days"
GR-3164CB2588B0,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S069,,,guideline_generic,General Coronary Revascularization,"POC HEMOSTASIS TESTING • Goal directed transfusion algorithms that incorporate point-of-care testing, such as with viscoelastic devices, are recommended to reduce periprocedural bleeding and transfusion in cardiac surgical patients",,,,,,,,,,,reduce periprocedural bleeding and transfusion in cardiac surgical patients,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.14 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,outcome:reduce periprocedural bleeding and transfusion in cardiac surgical patients,,,,,,,,,,,,,,reduce periprocedural bleeding and transfusion in cardiac surgical patients
GR-31CA40CE7C72,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S013,1,B,guideline_generic,General Coronary Revascularization,Reduced priming volume in the CPB circuit reduces hemodilution and is indicated for blood conservation,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 1 LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-1, loe-b",0.74,recommendation-language; cor:1; loe:b; source-locator,statement:Reduced priming volume in the CPB circuit reduces hemodilution and is indicated for blood conservation,,,,,,,,,,,is indicated,,,
GR-343672899D4F,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S074,,,guideline_generic,General Coronary Revascularization,Further studies are required to standardize the methods of ANH so that they can be more broadly applied,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.15 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Further studies are required to standardize the methods of ANH so that they can be more broadly applied,,,,,,,,,,,,,,
GR-356AD0342C16,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S048,,,guideline_generic,General Coronary Revascularization,"To provide optimal care for adult autonomous patients who are Jehovah’s Witnesses, surgeons should aim to respect and accommodate each patient’s values and target the best possible outcome given the patient’s desires and his or her clinical condition",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.8 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:To provide optimal care for adult autonomous patients who are Jehovah’s Witnesses, surgeons should aim to respect and ac",,,,,,,,,,,,,,
GR-3720DA5FFD13,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S056,,,guideline_generic,General Coronary Revascularization,"(Class IIA, Level C-LD) • Prothrombin concentrate is reasonable to consider over fresh frozen plasma as first-line therapy for refractory coagulopathy in cardiac surgery in select situations to reduce bleeding",,,,,,,,,,fresh frozen plasma as first-line therapy for refractory coagulopathy in cardiac surgery in select situations to reduce bleeding,reduce bleeding,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.9 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,comparator:fresh frozen plasma as first-line therapy for refractory coagulopathy in cardiac surgery in select situations to reduce bleeding; outcome:reduce bleeding,,,,,,,,,,,is reasonable,,,reduce bleeding
GR-372A99E52341,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S015,2A,B,guideline_generic,General Coronary Revascularization,Use of modified ultrafiltration may be reasonable for blood conservation and reducing postoperative blood loss in adult cardiac operations using CPB,,,,,,,,post-operative,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 2A LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-b",0.74,recommendation-language; cor:2a; loe:b; source-locator,statement:Use of modified ultrafiltration may be reasonable for blood conservation and reducing postoperative blood loss in adult,,,,,,,,,,,,,,
GR-37826C0DFAE2,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S033,1,B-R,guideline_generic,General Coronary Revascularization,"Reduced priming volume in the CPB circuit reduces hemodilution and is indicated for blood conservation, Class I, Level B-NR Acute normovolemic hemodilution (ANH) is a reasonable method to reduce bleeding and transfusion",,,,,,,,,,,reduce bleeding and transfusion,,,acute,Acute,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 narrative COR 1 LOE B-R,critical,1.0,"guideline, society-issued, recommendation-language, cor-1, loe-b",0.78,recommendation-language; cor:1; loe:b-r; source-locator; temporal-qualifiers,outcome:reduce bleeding and transfusion; temporal_qualifier:Acute,,,,,,,,,,,is indicated,Acute,,reduce bleeding and transfusion
GR-3E7159656EA6,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S078,,,guideline_generic,General Coronary Revascularization,"thus, these results should be interpreted cautiously",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.17 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:thus, these results should be interpreted cautiously",,,,,,,,,,,,,,
GR-4620C9C5B77E,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S029,3: NO BENEFIT,C-LD,guideline_generic,General Coronary Revascularization,"Preoperative anticoagulants In patients in need of emergent cardiac surgery with recent ingestion of a nonvitamin K oral anticoagulant (NOAC) or laboratory evidence of a NOAC effect, administration of the reversal antidote specific to that NOAC is recommended (ie, administer idarucizumab for dabigatran at appropriate dose or administer andexanet-a for either apixaban or rivaroxaban at appropriate dose)",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 narrative COR 3: NO BENEFIT LOE C-LD,critical,0.99,"guideline, society-issued, recommendation-language, cor-3, loe-c",0.74,recommendation-language; cor:3: no benefit; loe:c-ld; source-locator,statement:Preoperative anticoagulants In patients in need of emergent cardiac surgery with recent ingestion of a nonvitamin K oral,,,,,,,,,,,is recommended,,,
GR-4AA4F2263FA5,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S036,,,guideline_generic,General Coronary Revascularization,"Class III: No Benefit, B-R Transfusion algorithms In patients undergoing cardiac surgery, a restrictive perioperative allogeneic red blood cell (RBC) transfusion strategy is recommended in preference to a liberal transfusion strategy for perioperative blood conservation, as it reduces both transfusion rate and units of allogeneic RBCs without increased risk for mortality or morbidity",,,,,,,,,,"a liberal transfusion strategy for perioperative blood conservation, as it reduces both transfusion rate and units of allogeneic RBCs without increased risk for mortality or morbidity",,,increased risk for mortality or morbidity,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.4 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"comparator:a liberal transfusion strategy for perioperative blood conservation, as it reduces both transfusion rate and units of allogeneic RBCs without increased risk for mortality or morbidity; exclusion:increased risk for mortality or morbidity",,,,,,,increased risk for mortality or morbidity,,,exclusion:increased risk for mortality or morbidity [absent],is recommended,,increased risk for mortality or morbidity,
GR-4F51EE56C61D,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S064,,,guideline_generic,General Coronary Revascularization,"It remains the recommendation of the 2017 European Society of Cardiology/European Association for CardioThoracic Surgery that discontinuation of prasugrel at least 7 days before elective cardiac surgical intervention “should be considered.”83 One notable exception to the understanding that continuation of DAPT up to the time of elective cardiac surgery will result in increased perioperative bleeding, rates of transfusion, and need for postoperative mediastinal reexploration is the data provided by Ouattara and colleagues",,,,,,,,post-operative,,,,,,elective,elective,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.12 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,temporal_qualifier:elective,,,,,,,,,,,,elective,,
GR-5375EAD953AB,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S014,1,B,guideline_generic,General Coronary Revascularization,Acute normovolemic hemodilution (ANH) is a reasonable method to reduce bleeding and transfusion,,,,,,,,,,,reduce bleeding and transfusion,,,acute,Acute,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 class-level-row COR 1 LOE B,critical,1.0,"guideline, society-issued, recommendation-language, cor-1, loe-b",0.78,recommendation-language; cor:1; loe:b; source-locator; temporal-qualifiers,outcome:reduce bleeding and transfusion; temporal_qualifier:Acute,,,,,,,,,,,,Acute,,reduce bleeding and transfusion
GR-568B78CB30C3,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S026,2A,B-R,guideline_generic,General Coronary Revascularization,"In patients who have (i) preoperative anemia, (ii) refuse blood transfusion, (iii) or are deemed high-risk for postoperative anemia, it is reasonable to administer preoperative erythropoietin-stimulating agents and iron supplementation several days prior to cardiac operations to increase red cell mass",have (i) preoperative anemia,,,,,,,post-operative,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 narrative COR 2A LOE B-R,critical,1.0,"guideline, society-issued, recommendation-language, cor-2a, loe-b",0.82,recommendation-language; cor:2a; loe:b-r; population-extracted; source-locator,population:have (i) preoperative anemia,have (i) preoperative anemia,have (i) preoperative anemia,,,,,,,,population:have (i) preoperative anemia [eq],is reasonable,,,
GR-5BBE4BD3B300,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S038,3: NO BENEFIT,B-R,guideline_generic,General Coronary Revascularization,Management of blood resources A comprehensive multimodality blood conservation program led by a multidisciplinary team of health care providers should be part of any patient blood management program to limit utilization of blood resources and decrease the risk of bleeding,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.4 narrative COR 3: NO BENEFIT LOE B-R,critical,1.0,"guideline, society-issued, recommendation-language, cor-3, loe-b",0.74,recommendation-language; cor:3: no benefit; loe:b-r; source-locator,statement:Management of blood resources A comprehensive multimodality blood conservation program led by a multidisciplinary team o,,,,,,,,,,,,,,
GR-5C818D563304,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S059,,,guideline_generic,General Coronary Revascularization,"The associated risks are likely acceptable in many situations, but further evidence is required to fully delineate the risk benefit ratio",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.10 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:The associated risks are likely acceptable in many situations, but further evidence is required to fully delineate the r",,,,,,,,,,,,,,
GR-5FF23B935D31,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S063,,,guideline_generic,General Coronary Revascularization,"Given the known “fast offset” time of ticagrelor, subgroup analyses results from the Platelet Inhibition and Patient Outcomes (PLATO) trial suggested that discontinuation of ticagrelor 2 to 3 days preoperatively should be sufficient to balance the concomitant risks of perioperative bleeding and thrombotic events,69 but subsequent studies demonstrated that at least 3 days of ticagrelor washout minimizes bleeding risk without apparently increasing the risk of thrombotic events",,,,,2 to 3 days,,,,,,,,apparently increasing the risk of thrombotic events,,2 to 3 days,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.11 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.58,recommendation-language; source-locator; temporal-qualifiers,exclusion:apparently increasing the risk of thrombotic events; temporal_qualifier:2 to 3 days,,,,,2 to 3 days,,apparently increasing the risk of thrombotic events,,,time_window:2 to 3 days [within] | exclusion:apparently increasing the risk of thrombotic events [absent],,2 to 3 days,apparently increasing the risk of thrombotic events,
GR-60B1577D0ADA,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S041,,,guideline_generic,General Coronary Revascularization,Routine iron studies are of importance in the determination of the type of anemia present and should be done routinely in the careful preoperative assessment of patients so that treatment can be instituted if warranted,,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.5 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,statement:Routine iron studies are of importance in the determination of the type of anemia present and should be done routinely i,,,,,,,,,,,,,,
GR-6217904B191F,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S052,,,guideline_generic,General Coronary Revascularization,"Admittedly, PBM should be practiced in all patients regardless of their personal beliefs",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.8 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Admittedly, PBM should be practiced in all patients regardless of their personal beliefs",,,,,,,,,,,,,,
GR-6278A012DF41,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S080,,,guideline_generic,General Coronary Revascularization,"This recommendation must be tempered with caution, because even trauma surgeons have concerns about optimal transfusion therapy and evaluation of traumatic hemorrhage",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.19 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:This recommendation must be tempered with caution, because even trauma surgeons have concerns about optimal transfusion",,,,,,,,,,,,,,
GR-64F6C3D69B61,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S037,1,A,guideline_generic,General Coronary Revascularization,"Goal directed transfusion algorithms which incorporate point of care testing, such as with viscoelastic devices, are recommended to reduce periprocedural bleeding and transfusion in cardiac surgical patients",,,,,,,,,,,reduce periprocedural bleeding and transfusion in cardiac surgical patients,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.4 narrative COR 1 LOE A,critical,1.0,"guideline, society-issued, recommendation-language, cor-1, loe-a",0.74,recommendation-language; cor:1; loe:a; source-locator,outcome:reduce periprocedural bleeding and transfusion in cardiac surgical patients,,,,,,,,,,,,,,reduce periprocedural bleeding and transfusion in cardiac surgical patients
GR-67274F4B002F,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S070,,,guideline_generic,General Coronary Revascularization,"however, the use of PCCs and fibrinogen concentrate in place of blood products must be carefully evaluated for safety",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.15 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:however, the use of PCCs and fibrinogen concentrate in place of blood products must be carefully evaluated for safety",,,,,,,,,,,,,,
GR-68C4EDE0708B,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S068,,,guideline_generic,General Coronary Revascularization,"Yet, given variable results with respect to graft patency111 and 5-year survival outcomes with off-pump procedures,112,113 routine use of this technique should be reserved for surgeons making a concerted commitment to integrate off-pump techniques into their daily operative practice",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.14 narrative,critical,0.95,"guideline, society-issued, recommendation-language",0.54,recommendation-language; source-locator,"statement:Yet, given variable results with respect to graft patency111 and 5-year survival outcomes with off-pump procedures,112,1",,,,,,,,,,,,,,
GR-6BA5E828843C,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S027,3: NO BENEFIT,B-NR,guideline_generic,General Coronary Revascularization,"Preoperative antiplatelet management In order to reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days",,,,,,,,,,,"reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days",,,elective,elective,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.3 narrative COR 3: NO BENEFIT LOE B-NR,critical,1.0,"guideline, society-issued, recommendation-language, cor-3, loe-b",0.78,recommendation-language; cor:3: no benefit; loe:b-nr; source-locator; temporal-qualifiers,"outcome:reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days; temporal_qualifier:elective",,,,,,,,,,,,elective,,"reduce bleeding in patients requiring elective cardiac surgery, ticagrelor should be withdrawn preoperatively for a minimum of 3 days, clopidogrel for 5 days, and prasugrel for 7 days"
GR-6EBDD7EFC427,STS-SCA-AMSECT-SABM-PATIENT-BLOOD-MANAGEMENT-2021:S022,3: NO BENEFIT,C-LD,guideline_generic,General Coronary Revascularization,"(Limited Data) Use of 1-deamino-8-D-arginine vasopressin (DDAVP) may be reasonable to attenuate excessive bleeding and transfusion in certain patients with demonstrable and specific platelet dysfunction known to respond to this agent (eg, uremic or CPBinduced platelet dysfunction, type I von Willebrand disease)",,,,,,,,,,,,,,,,2026-04-27T15:25:28.815670+00:00,,Anestesiologia,Cardioanestesia,p.2 narrative COR 3: NO BENEFIT LOE C-LD,critical,0.99,"guideline, society-issued, recommendation-language, cor-3, loe-c",0.74,recommendation-language; cor:3: no benefit; loe:c-ld; source-locator,statement:(Limited Data) Use of 1-deamino-8-D-arginine vasopressin (DDAVP) may be reasonable to attenuate excessive bleeding and t,,,,,,,,,,,,,,
